#{"t_start": 1754462768.9782917, "env_id": "None"}
r,l,t
680.8701,117,1.64742
2147.825,258,1.839808
2013.4745,252,1.989944
1378.2347,188,2.237597
2674.3748,328,2.268878
1139.2719,172,2.453699
2008.0701,260,2.606467
1014.6195,145,2.653872
2162.8855,254,2.938632
2031.3824,281,3.016778
1392.2306,196,3.206614
2074.0505,257,3.354723
1302.0536,202,3.470583
898.67096,136,3.539605
2108.9868,257,3.802728
1879.9489,246,3.856101
2180.0955,254,4.206285
1998.3954,271,7.095781
1416.1985,195,7.377194
7404.3477,1000,7.709148
2243.0708,278,7.762518
1230.0972,171,7.923439
2078.262,255,8.078557
1282.2958,177,8.163171
2156.2632,263,8.44347
2214.982,264,8.526088
1419.8811,198,8.710941
2416.3862,282,8.880171
2022.4757,255,9.034981
807.6746,141,9.227339
2013.8177,261,9.227339
1816.1855,242,11.983191
1813.6442,252,11.983191
1555.4962,210,12.286524
2123.0366,263,12.357039
2132.7893,293,12.669053
1949.0293,297,12.746547
975.8148,157,12.873345
2075.1072,281,13.116075
1282.758,193,13.116075
1579.0432,223,13.401174
1550.736,214,13.699747
951.45544,155,13.917785
1168.5585,149,14.14419
1548.5361,217,14.449805
7061.8184,1000,14.518801
1233.8984,184,14.688027
2084.803,259,17.460541
854.3238,128,17.464529
1362.7432,194,17.735135
1750.4381,226,18.060039
2172.1128,263,18.481018
1299.183,194,18.790811
6773.5884,1000,19.001046
1610.6881,203,19.095336
1312.4958,193,19.275095
1480.504,206,19.401228
2677.4734,341,19.74855
2109.6348,262,19.763354
1407.1003,207,20.05388
1848.8896,250,20.101209
2405.014,295,23.018486
2471.5244,358,23.147532
943.6748,155,23.24025
2227.2634,267,23.516817
1569.1941,211,23.516817
1271.3785,171,23.732942
1187.246,193,23.771102
1359.6284,179,23.95567
2392.7573,351,24.218624
1666.3561,220,24.256408
1440.3503,213,24.503422
1258.1753,202,24.772892
1017.4094,144,24.981732
2272.4639,281,25.376782
2086.7957,826,25.392404
2298.1946,275,28.317331
2234.0596,320,28.377712
1417.5393,198,28.636221
2651.8455,327,28.752025
778.40265,125,28.930368
2139.0417,261,28.983739
1368.6517,209,29.215103
2443.198,293,29.399955
2173.0032,264,29.598241
2328.7234,270,29.782022
2007.5486,258,29.956036
2765.3284,339,30.239709
2020.3915,257,30.29839
2035.2167,262,30.569043
2665.6323,329,30.709349
1358.6229,172,30.800463
2081.8,264,33.726685
1627.4315,221,33.761005
1917.3092,249,34.11549
1962.2943,245,34.146698
1669.5847,208,34.43047
2069.3386,255,34.516586
2127.832,256,34.795879
2177.9124,289,34.932456
1350.3557,176,35.034865
2103.576,261,35.302443
1388.4496,187,35.310422
1267.1659,168,35.5291
2445.9338,274,35.68003
1384.4465,197,35.78845
636.47485,115,35.949596
2341.285,307,36.109733
1341.6119,195,36.238058
2273.3684,315,39.135447
2005.6136,251,39.175818
1991.8798,251,39.50602
2033.2991,260,39.552884
2031.6356,260,39.875241
2460.979,306,39.975475
1997.8868,262,40.214661
2376.6116,297,40.354159
2032.7502,250,40.523386
1834.951,237,40.655653
2029.3455,265,40.854983
1244.8363,196,40.908354
1189.1251,189,41.108481
1844.8099,254,41.240258
769.26825,123,41.39386
2077.8293,290,41.47847
